
familyID,familyGuardian,familyStatus,motherEdu,fatherEdu,fatherJobID,motherJobID,familySizeID
1,mother,A,4,4,5,1,1
2,father,T,1,1,3,1,1
3,mother,T,1,1,3,1,2
4,mother,T,4,2,4,2,1
5,father,T,3,3,3,3,1
6,mother,T,4,3,3,4,2
7,mother,T,2,2,3,3,2
8,mother,A,4,4,5,3,1
9,mother,A,3,2,3,4,2
10,mother,T,3,4,3,3,1
11,mother,T,4,4,2,5,1
12,father,T,2,1,3,4,1
13,father,T,4,4,4,2,2
14,mother,T,4,3,3,5,1
15,other,A,2,2,3,3,1
16,mother,T,4,4,3,2,1
17,mother,T,4,4,4,4,1
18,mother,T,3,3,3,3,1
19,mother,T,3,2,4,4,1
20,father,T,4,3,3,2,2
21,mother,T,4,3,3,5,1
22,father,T,4,4,2,2,1
23,mother,T,4,2,3,5,2
24,mother,T,2,2,3,3,2
25,mother,T,2,4,2,4,1
26,mother,T,2,2,4,4,1
27,mother,T,2,2,3,3,1
28,mother,T,4,2,4,2,1
29,mother,A,3,4,3,4,2
30,mother,T,4,4,5,5,1
31,mother,T,4,4,4,2,1
32,mother,T,4,4,4,4,1
33,mother,T,4,3,1,5,1
34,mother,T,3,3,3,3,2
35,mother,T,3,2,3,3,1
36,father,T,2,3,3,3,1
37,mother,T,4,3,4,5,2
38,mother,A,4,4,5,3,1
39,mother,T,3,4,2,4,1
40,mother,T,2,2,3,1,1
41,mother,T,2,2,3,3,2
42,other,T,4,4,3,5,2
43,father,T,4,4,5,4,1
44,father,T,2,2,4,4,1
45,father,T,2,2,1,3,2
46,mother,A,4,3,3,3,2
47,mother,A,3,3,4,3,2
48,mother,T,4,3,4,2,1
49,mother,T,4,2,3,5,1
50,father,T,4,4,5,4,1
51,mother,T,2,2,4,4,2
52,mother,T,4,2,3,2,2
53,father,A,4,2,2,2,2
54,mother,T,4,4,4,4,1
55,mother,A,3,3,3,3,2
56,mother,A,2,1,3,3,1
57,mother,A,4,3,4,4,1
58,mother,T,4,4,2,5,1
59,father,T,1,2,1,3,2
60,mother,T,4,2,3,4,1
61,mother,T,4,4,5,2,1
62,father,T,1,1,4,4,1
63,father,T,1,2,4,3,2
64,mother,T,4,3,2,5,1
65,father,T,4,3,4,4,2
66,mother,T,4,3,4,5,2
67,mother,A,4,4,4,3,1
68,mother,T,3,1,3,4,1
69,mother,T,2,2,4,2,2
70,father,T,3,1,3,3,2
71,father,T,3,1,3,3,1
72,mother,T,4,2,3,3,1
73,mother,T,1,1,3,3,1
74,mother,T,3,1,3,3,1
75,mother,T,3,3,4,3,1
76,mother,T,4,3,3,5,1
77,mother,T,4,0,3,5,1
78,mother,T,2,2,3,3,1
79,mother,T,2,1,3,3,1
80,mother,T,3,4,3,1,1
81,father,T,2,3,4,3,1
82,mother,T,2,3,3,3,1
83,mother,T,3,2,3,4,2
84,mother,T,2,2,4,4,2
85,father,T,1,1,3,3,1
86,father,T,4,4,4,4,1
87,mother,T,2,2,3,1,2
88,mother,T,4,2,3,3,1
89,father,T,2,2,3,4,1
90,mother,A,4,4,2,5,2
91,mother,T,3,3,3,3,1
92,mother,T,4,3,3,4,1
93,father,T,3,1,3,3,2
94,mother,T,4,2,4,5,1
95,mother,T,2,2,2,4,2
96,mother,T,1,1,3,1,1
97,mother,T,4,3,3,4,1
98,mother,T,2,1,3,3,1
99,mother,T,4,4,3,3,1
100,mother,T,4,3,1,3,1
101,mother,T,4,4,4,4,1
102,father,T,4,4,5,4,1
103,mother,T,4,4,3,4,1
104,mother,T,3,2,3,4,1
105,mother,A,3,4,3,4,1
106,father,A,3,3,2,3,1
107,mother,T,2,2,3,3,1
108,father,T,3,3,3,4,1
109,father,T,4,4,3,3,1
110,mother,T,4,4,2,2,2
111,mother,A,4,4,5,5,2
112,father,T,3,3,3,4,1
113,mother,T,2,2,3,1,1
114,mother,T,4,2,3,5,2
115,mother,T,2,1,4,2,1
116,father,T,4,4,5,5,1
117,father,T,4,4,5,3,1
118,father,T,3,3,4,3,1
119,father,T,1,3,3,3,1
120,father,T,3,4,3,3,1
121,mother,T,1,2,4,1,1
122,father,T,2,2,4,4,1
123,father,T,2,4,2,3,2
124,mother,T,4,4,3,2,1
125,mother,T,2,2,3,3,1
126,father,T,3,4,4,4,1
127,mother,A,3,4,3,3,2
128,other,T,0,1,3,1,1
129,mother,T,4,4,5,5,1
130,mother,T,2,3,3,3,1
131,father,T,3,4,5,4,1
132,mother,T,2,1,3,4,1
133,mother,A,2,1,3,3,2
134,mother,T,1,1,3,1,1
135,father,T,2,2,3,3,2
136,father,A,3,4,3,4,1
137,mother,T,2,1,3,1,1
138,mother,A,2,2,3,3,1
139,mother,T,3,4,5,1,1
140,mother,T,4,4,1,4,1
141,mother,T,3,4,3,1,1
142,mother,T,1,1,3,1,1
143,mother,T,3,1,4,4,2
144,other,A,3,2,4,3,1
145,mother,T,1,1,4,3,1
146,other,A,3,3,3,3,1
147,mother,T,1,1,3,4,2
148,mother,T,4,4,5,5,1
149,mother,T,1,1,3,3,1
150,father,T,4,3,4,5,1
151,mother,A,3,3,4,4,1
152,mother,T,4,4,4,4,1
153,father,T,2,2,4,4,2
154,mother,T,4,4,4,5,1
155,mother,T,1,1,1,1,2
156,mother,T,2,1,3,3,1
157,father,T,1,1,4,3,1
158,mother,A,2,1,3,1,2
159,father,T,3,2,4,2,1
160,mother,T,1,2,3,1,1
161,father,T,1,2,4,1,1
162,mother,T,4,4,5,5,1
163,mother,A,2,1,3,4,2
164,mother,T,1,1,3,3,2
165,mother,T,2,1,3,1,2
166,other,T,3,3,4,4,1
167,mother,T,3,2,1,4,1
168,mother,T,4,4,5,3,1
169,mother,T,2,3,4,1,1
170,mother,T,1,2,3,3,2
171,mother,T,1,1,3,1,1
172,mother,T,2,2,3,1,1
173,father,T,3,3,4,3,1
174,mother,T,1,2,4,2,2
175,mother,T,2,1,3,1,2
176,mother,T,3,2,3,3,1
177,mother,T,1,2,3,3,2
178,father,T,1,3,4,1,1
179,mother,T,1,1,4,3,2
180,mother,T,3,2,4,4,1
181,father,T,2,2,3,3,1
182,father,T,4,2,4,2,1
183,mother,T,2,2,3,3,1
184,mother,T,4,4,2,2,1
185,father,T,3,4,3,3,1
186,mother,T,1,0,3,3,1
187,mother,T,4,4,3,5,2
188,mother,T,1,3,4,1,1
189,mother,T,3,3,3,3,2
190,mother,T,4,3,3,5,2
191,mother,T,2,2,3,4,1
192,father,T,3,3,3,3,1
193,mother,T,4,2,4,5,1
194,mother,T,4,3,3,3,1
195,mother,T,4,3,3,5,1
196,mother,T,3,3,3,4,1
197,father,T,2,4,4,4,1
198,mother,T,3,3,3,3,2
199,mother,T,3,2,3,3,1
200,mother,T,3,3,4,4,1
201,mother,T,1,2,4,4,1
202,mother,T,2,1,3,3,2
203,mother,A,3,3,3,2,1
204,mother,T,1,2,3,1,1
205,mother,T,2,3,4,4,1
206,mother,T,1,1,4,1,1
207,other,T,1,2,4,1,1
208,mother,T,3,3,4,4,1
209,father,T,2,3,3,3,1
210,father,T,2,4,4,4,2
211,mother,T,4,4,5,4,1
212,father,T,3,3,3,5,2
213,mother,T,4,4,5,4,1
214,mother,T,4,4,5,5,2
215,mother,T,4,3,3,2,1
216,mother,T,2,3,3,3,1
217,mother,T,1,1,3,3,1
218,mother,T,2,2,3,3,1
219,mother,T,2,2,4,4,1
220,mother,T,3,4,4,1,1
221,mother,A,3,1,3,4,1
222,mother,T,4,3,3,5,1
223,mother,T,1,1,3,1,1
224,mother,T,4,3,3,5,1
225,other,T,3,3,3,3,1
226,mother,T,4,4,3,4,2
227,mother,A,2,2,3,3,1
228,mother,T,2,2,3,4,1
229,mother,T,4,4,3,4,2
230,mother,T,3,2,3,3,2
231,mother,T,4,3,3,3,1
232,father,T,3,3,2,4,2
233,father,T,2,3,3,1,1
234,mother,T,2,2,1,1,1
235,mother,T,2,1,4,1,1
236,mother,T,1,1,3,1,1
237,mother,T,2,3,5,4,1
238,mother,T,2,2,3,3,1
239,mother,T,4,4,4,5,1
240,mother,T,3,1,3,3,1
241,mother,T,3,2,3,3,1
242,father,T,2,3,4,4,2
243,mother,T,2,1,3,1,2
244,mother,A,2,1,3,3,1
245,father,T,4,3,3,2,2
246,father,T,2,2,3,3,1
247,mother,T,4,4,5,5,1
248,father,T,4,4,3,2,1
249,mother,T,1,1,3,3,2
250,mother,T,3,2,3,1,1
251,father,T,2,2,3,3,2
252,mother,T,2,1,3,3,1
253,mother,A,4,1,3,3,1
254,mother,A,2,4,3,4,2
255,mother,T,2,2,4,1,2
256,mother,T,3,3,3,3,1
257,other,T,2,2,1,3,1
258,mother,T,4,4,5,5,1
259,father,T,3,2,3,3,1
260,mother,T,1,1,1,1,2
261,mother,T,1,2,3,3,1
262,mother,T,2,1,4,1,1
263,other,A,1,4,3,3,2
264,father,T,2,2,4,3,1
265,mother,A,2,2,3,3,2
266,mother,T,1,1,3,1,2
267,mother,A,4,2,3,5,2
268,mother,T,4,3,3,2,2
269,mother,A,4,4,3,5,2
270,mother,T,4,3,3,5,2
271,mother,T,4,4,4,4,1
272,mother,T,4,4,4,5,1
273,father,T,1,1,3,3,1
274,mother,T,3,3,3,4,1
275,mother,T,1,1,3,1,1
276,other,T,2,1,3,3,1
277,mother,T,2,1,3,3,1
278,father,T,1,1,4,3,1
279,father,T,2,3,3,3,1
280,mother,T,3,1,4,4,1
281,mother,T,3,3,4,3,2
282,mother,T,0,2,3,3,1
283,mother,T,3,2,3,4,1
284,other,T,3,3,3,1,1
285,mother,T,2,1,4,4,1
286,mother,T,2,1,3,3,1
287,mother,T,2,1,3,3,1
288,mother,T,1,1,3,2,2
289,mother,A,2,1,3,3,2
290,mother,T,4,2,4,5,2
291,mother,T,2,2,4,4,1
292,mother,T,2,1,3,4,2
293,mother,T,4,2,3,3,1
294,mother,T,1,1,1,3,2
295,mother,T,2,2,3,3,1
296,mother,A,4,3,1,4,2
297,mother,T,2,1,3,3,1
298,mother,T,2,2,4,3,1
299,father,T,2,2,4,4,2
300,other,T,2,1,3,3,1
301,father,T,4,3,3,4,1
302,mother,T,4,3,3,5,1
303,mother,T,3,2,3,3,1
304,mother,T,3,3,3,3,1
305,mother,T,2,2,4,1,1
306,father,T,2,2,3,3,1
307,mother,A,3,4,3,3,2
308,mother,T,3,1,3,4,1
309,mother,T,4,4,3,5,1
310,father,T,4,2,3,2,1
311,mother,T,2,1,3,3,1
312,other,T,3,3,4,3,1
313,father,T,2,3,4,3,1
314,mother,T,1,1,3,3,2
315,mother,T,1,2,1,1,1
316,mother,T,2,1,3,3,1
317,mother,T,2,4,2,1,1
318,mother,T,2,2,3,4,2
319,mother,A,3,2,4,3,1
320,mother,T,4,4,4,5,1
321,father,T,4,4,2,2,1
322,father,T,2,2,4,3,1
323,father,T,3,2,4,4,1
324,mother,T,4,3,4,5,2
325,other,T,1,2,3,1,1
326,mother,A,4,1,3,4,2
327,mother,A,3,2,4,5,2
328,mother,T,1,1,3,1,2
329,mother,T,1,1,3,3,1
330,mother,T,2,2,3,3,1
331,mother,T,2,1,3,3,1
332,father,T,1,1,3,3,1
333,mother,T,2,2,1,1,1
334,mother,T,1,1,5,4,1
335,mother,T,2,1,4,4,1
336,mother,A,4,4,5,5,2
337,mother,T,4,2,3,5,1
338,mother,T,4,3,4,2,1
339,mother,T,3,1,3,4,2
340,mother,T,3,2,3,4,2
341,mother,T,3,3,3,2,1
342,other,T,4,4,3,2,1
343,other,T,4,3,3,3,2
344,father,T,4,3,3,3,1
345,mother,T,4,4,5,5,2
346,mother,A,4,4,3,2,2
347,father,T,4,4,5,3,2
348,mother,T,4,4,4,4,1
349,mother,T,4,2,3,3,1
350,father,T,3,2,2,2,1
351,mother,T,2,1,4,1,2
352,other,A,3,2,3,4,1
353,father,T,3,3,4,3,1
354,mother,T,1,4,5,3,1
355,mother,T,2,1,3,4,1
356,father,T,2,3,3,3,1
357,mother,T,4,4,5,5,1
358,mother,T,4,3,3,3,1
359,mother,T,4,3,4,2,2
360,father,T,3,4,4,1,1
361,father,T,3,3,3,1,1
362,mother,T,4,2,3,2,1
363,mother,T,4,4,3,5,1
364,mother,T,3,4,3,3,1
365,mother,T,4,4,2,2,1
366,mother,A,4,3,4,4,1
367,mother,A,3,3,3,4,2
368,father,T,2,1,3,3,2
369,father,T,4,4,3,3,2
370,other,T,1,1,3,3,1
371,other,A,1,1,3,3,2
372,mother,T,2,2,3,3,1
373,mother,T,2,2,3,3,1
374,mother,T,2,2,4,4,2
375,father,T,3,1,4,4,1
376,father,T,0,2,1,1,2
377,mother,T,1,1,3,3,1
378,mother,T,4,4,3,3,1
379,mother,T,3,3,4,3,1
380,mother,T,2,2,3,4,1
381,mother,T,4,4,4,5,1
382,mother,T,4,4,5,5,1
383,mother,T,3,3,3,1,1
384,mother,T,2,2,3,3,2
385,other,T,3,2,4,1,1
386,mother,T,2,2,3,1,1
387,father,T,2,4,3,1,1
388,mother,T,2,2,3,3,1
389,mother,T,3,3,4,4,1
390,other,T,2,2,3,3,2
391,mother,T,2,2,3,1,1
392,mother,T,3,4,3,4,1
393,mother,T,3,2,3,3,1
394,mother,T,3,3,4,4,2
395,mother,A,3,2,3,3,1
396,father,T,4,4,4,5,1
397,mother,T,3,4,3,4,2
398,father,A,2,2,1,1,1
399,mother,T,2,3,3,1,1
400,mother,T,3,2,4,3,1
401,mother,T,4,3,4,5,1
402,mother,T,4,3,3,5,1
403,mother,T,4,3,3,2,1
404,mother,T,2,1,3,4,1
405,mother,T,2,1,3,4,1
406,other,A,2,3,3,1,2
407,mother,T,3,1,1,3,1
408,other,T,4,4,3,3,2
409,mother,T,2,2,4,4,2
410,other,A,3,4,3,3,2
411,mother,T,2,2,4,4,1
412,mother,A,4,4,3,2,2
