
schoolYearID,schoolYear,activeYear
1,2017,False
2,2018,False
3,2019,False
4,1960,False
5,1961,False
6,1962,False
7,1963,False
8,1964,False
9,1965,False
10,1966,False
11,1967,False
12,1968,False
13,1969,False
14,1970,False
15,1971,False
16,1972,False
17,1973,False
18,1974,False
19,1975,False
20,1976,False
21,1977,False
22,1978,False
23,1979,False
24,1980,False
25,1981,False
26,1982,False
27,1983,False
28,1984,False
29,1985,False
30,1986,False
31,1987,False
32,1988,False
33,1989,False
34,1990,False
35,1991,False
36,1992,False
37,1993,False
38,1994,False
39,1995,False
40,1996,False
41,1997,False
42,1998,False
43,1999,False
44,2000,False
45,2001,False
46,2002,False
47,2003,False
48,2004,False
49,2005,False
50,2006,False
51,2007,False
52,2008,False
53,2009,False
54,2010,False
55,2011,False
56,2012,False
57,2013,False
58,2014,False
59,2015,False
60,2016,False
61,2020,True
