
subjectID,subjectName,schoolYearID
1,CBD,1
2,BD,1
3,MAT1,1
4,CBD,2
5,BD,2
6,MAT1,2
7,CBD,3
8,BD,3
9,MAT1,3
10,Português,4
11,Inglês,4
12,Frances,4
13,Matemática,4
14,Ciências,4
15,Físico-química,4
16,Educação Visual,4
17,TIC,4
18,Educação Física,4
19,Português,5
20,Inglês,5
21,Frances,5
22,Matemática,5
23,Ciências,5
24,Físico-química,5
25,Educação Visual,5
26,TIC,5
27,Educação Física,5
28,Português,6
29,Inglês,6
30,Frances,6
31,Matemática,6
32,Ciências,6
33,Físico-química,6
34,Educação Visual,6
35,TIC,6
36,Educação Física,6
37,Português,7
38,Inglês,7
39,Frances,7
40,Matemática,7
41,Ciências,7
42,Físico-química,7
43,Educação Visual,7
44,TIC,7
45,Educação Física,7
46,Português,8
47,Inglês,8
48,Frances,8
49,Matemática,8
50,Ciências,8
51,Físico-química,8
52,Educação Visual,8
53,TIC,8
54,Educação Física,8
55,Português,9
56,Inglês,9
57,Frances,9
58,Matemática,9
59,Ciências,9
60,Físico-química,9
61,Educação Visual,9
62,TIC,9
63,Educação Física,9
64,Português,10
65,Inglês,10
66,Frances,10
67,Matemática,10
68,Ciências,10
69,Físico-química,10
70,Educação Visual,10
71,TIC,10
72,Educação Física,10
73,Português,11
74,Inglês,11
75,Frances,11
76,Matemática,11
77,Ciências,11
78,Físico-química,11
79,Educação Visual,11
80,TIC,11
81,Educação Física,11
82,Português,12
83,Inglês,12
84,Frances,12
85,Matemática,12
86,Ciências,12
87,Físico-química,12
88,Educação Visual,12
89,TIC,12
90,Educação Física,12
91,Português,13
92,Inglês,13
93,Frances,13
94,Matemática,13
95,Ciências,13
96,Físico-química,13
97,Educação Visual,13
98,TIC,13
99,Educação Física,13
100,Português,14
101,Inglês,14
102,Frances,14
103,Matemática,14
104,Ciências,14
105,Físico-química,14
106,Educação Visual,14
107,TIC,14
108,Educação Física,14
109,Português,15
110,Inglês,15
111,Frances,15
112,Matemática,15
113,Ciências,15
114,Físico-química,15
115,Educação Visual,15
116,TIC,15
117,Educação Física,15
118,Português,16
119,Inglês,16
120,Frances,16
121,Matemática,16
122,Ciências,16
123,Físico-química,16
124,Educação Visual,16
125,TIC,16
126,Educação Física,16
127,Português,17
128,Inglês,17
129,Frances,17
130,Matemática,17
131,Ciências,17
132,Físico-química,17
133,Educação Visual,17
134,TIC,17
