
studentNumber,familyID,addressID
201700001,1,1
201700002,2,2
201700003,3,3
201700004,4,4
201700005,5,5
201700006,6,6
201700007,7,7
201700008,8,8
201700009,9,9
201700010,10,10
201700011,11,11
201700012,12,12
201700013,13,13
201700014,14,14
201700015,15,15
201700016,16,16
201700017,17,17
201700018,18,18
201700019,19,19
201700020,20,20
201700021,21,21
201700022,22,22
201700023,23,23
201700024,24,24
201700025,25,25
201700026,26,26
201700027,27,27
201700028,28,28
201700029,29,29
201700030,30,30
201700031,31,31
201700032,32,32
201700033,33,33
201700034,34,34
201700035,35,35
201700036,36,36
201700037,37,37
201700038,38,38
201700039,39,39
201700040,40,40
201700041,41,41
201700042,42,42
201700043,43,43
201700044,44,44
201700045,45,45
201700046,46,46
201700047,47,47
201700048,48,48
201700049,49,49
201700050,50,50
201700051,51,51
201700052,52,52
201700053,53,53
201700054,54,54
201700055,55,55
201700056,56,56
201700057,57,57
201700058,58,58
201700059,59,59
201700060,60,60
201700061,61,61
201700062,62,62
201700063,63,63
201700064,64,64
201700065,65,65
201700066,66,66
201700067,67,67
201700068,68,68
201700069,69,69
201700070,70,70
201700071,71,71
201700072,72,72
201700073,73,73
201700074,74,74
201700075,75,75
201700076,76,76
201700077,77,77
201700078,78,78
201700079,79,79
201700080,80,80
201700081,81,81
201700082,82,82
201700083,83,83
201700084,84,84
201700085,85,85
201700086,86,86
201700087,87,87
201700088,88,88
201700089,89,89
201700090,90,90
201700091,91,91
201700092,92,92
201700093,93,93
201700094,94,94
201700095,95,95
201700096,96,96
201700097,97,97
201700098,98,98
201700099,99,99
201700100,100,100
201700101,101,101
201700102,102,102
201700103,103,103
201700104,104,104
201700105,105,105
201700106,106,106
201700107,107,107
201700108,108,108
201700109,109,109
201700110,110,110
201700111,111,111
201700112,112,112
201700113,113,113
201700114,114,114
201700115,115,115
201700116,116,116
201700117,117,117
201700118,118,118
201700119,119,119
201700120,120,120
201700121,121,121
201700122,122,122
201700123,123,123
201700124,124,124
201700125,125,125
201700126,126,126
201700127,127,127
201700128,128,128
201700129,129,129
201700130,130,130
201700131,131,131
201700132,132,132
201700133,133,133
201700134,134,134
201700135,135,135
201700136,136,136
201700137,137,137
201700138,138,138
201700139,139,139
201700140,140,140
201700141,141,141
201700142,142,142
201700143,143,143
201700144,144,144
201700145,145,145
201700146,146,146
201700147,147,147
201700148,148,148
201700149,149,149
201700150,150,150
201700151,151,151
201700152,152,152
201700153,153,153
201700154,154,154
201700155,155,155
201700156,156,156
201700157,157,157
201700158,158,158
201700159,159,159
201700160,160,160
201700161,161,161
201700162,162,162
201700163,163,163
201700164,164,164
201700165,165,165
201700166,166,166
201700167,167,167
201700168,168,168
201700169,169,169
201700170,170,170
201700171,171,171
201700172,172,172
201700173,173,173
201700174,174,174
201700175,175,175
201700176,176,176
201700177,177,177
201700178,178,178
201700179,179,179
201700180,180,180
201700181,181,181
201700182,182,182
201700183,183,183
201700184,184,184
201700185,185,185
201700186,186,186
201700187,187,187
201700188,188,188
201700189,189,189
201700190,190,190
201700191,191,191
201700192,192,192
201700193,193,193
201700194,194,194
201700195,195,195
201700196,196,196
201700197,197,197
201700198,198,198
201700199,199,199
201700200,200,200
201700201,201,201
201700202,202,202
201700203,203,203
201700204,204,204
201700205,205,205
201700206,206,206
201700207,207,207
201700208,208,208
201700209,209,209
201700210,210,210
201700211,211,211
201700212,212,212
201700213,213,213
201700214,214,214
201700215,215,215
201700216,216,216
201700217,217,217
201700218,218,218
201700219,219,219
201700220,220,220
201700221,221,221
201700222,222,222
201700223,223,223
201700224,224,224
201700225,225,225
201700226,226,226
201700227,227,227
201700228,228,228
201700229,229,229
201700230,230,230
201700231,231,231
201700232,232,232
201700233,233,233
201700234,234,234
201700235,235,235
201700236,236,236
201700237,237,237
201700238,238,238
201700239,239,239
201700240,240,240
201700241,241,241
201700242,242,242
201700243,243,243
201700244,244,244
201700245,245,245
201700246,246,246
201700247,247,247
201700248,248,248
201700249,249,249
201700250,250,250
201700251,251,251
201700252,252,252
201700253,253,253
201700254,254,254
201700255,255,255
201700256,256,256
201700257,257,257
201700258,258,258
201700259,259,259
201700260,260,260
201700261,261,261
201700262,262,262
201700263,263,263
201700264,264,264
201700265,265,265
201700266,266,266
201700267,267,267
201700268,268,268
201700269,269,269
201700270,270,270
201700271,271,271
201700272,272,272
201700273,273,273
201700274,274,274
201700275,275,275
201700276,276,276
201700277,277,277
201700278,278,278
201700279,279,279
201700280,280,280
201700281,281,281
201700282,282,282
201700283,283,283
201700284,284,284
201700285,285,285
201700286,286,286
201700287,287,287
201700288,288,288
201700289,289,289
201700290,290,290
201700291,291,291
201700292,292,292
201700293,293,293
201700294,294,294
201700295,295,295
201700296,296,296
201700297,297,297
201700298,298,298
201700299,299,299
201700300,300,300
201700301,301,301
201700302,302,302
201700303,303,303
201700304,304,304
201700305,305,305
201700306,306,306
201700307,307,307
201700308,308,308
201700309,309,309
201700310,310,310
201700311,311,311
201700312,312,312
201700313,313,313
201700314,314,314
201700315,315,315
201700316,316,316
201700317,317,317
201700318,318,318
201700319,319,319
201700320,320,320
201700321,321,321
201700322,322,322
201700323,323,323
201700324,324,324
201700325,325,325
201700326,326,326
201700327,327,327
201700328,328,328
201700329,329,329
201700330,330,330
201700331,331,331
201700332,332,332
201700333,333,333
201700334,334,334
201700335,335,335
201700336,336,336
201700337,337,337
201700338,338,338
201700339,339,339
201700340,340,340
201700341,341,341
201700342,342,342
201700343,343,343
201700344,344,344
201700345,345,345
201700346,346,346
201700347,347,347
201700348,348,348
201700349,349,349
201700350,350,350
201700351,351,351
201700352,352,352
201700353,353,353
201700354,354,354
201700355,355,355
201700356,356,356
201700357,357,357
201700358,358,358
201700359,359,359
201700360,360,360
201700361,361,361
201700362,362,362
201700363,363,363
201700364,364,364
201700365,365,365
201700366,366,366
201700367,367,367
201700368,368,368
201700369,369,369
201700370,370,370
201700371,371,371
201700372,372,372
201700373,373,373
201700374,374,374
201700375,375,375
201700376,376,376
201700377,377,377
201700378,378,378
201700379,379,379
201700380,380,380
201700381,381,381
201700382,382,382
201700383,383,383
201700384,384,384
201700385,385,385
201700386,386,386
201700387,387,387
201700388,388,388
201700389,389,389
201700390,390,390
201700391,391,391
201700392,392,392
201700393,393,393
201700394,394,394
201700395,395,395
201700396,396,396
201700397,397,397
201700398,398,398
201700399,399,399
201700400,400,400
201700401,401,401
201700402,402,402
201700403,403,403
201700404,404,404
